,individual.ID,Species,E.untransformed,E,E.,Eh,lnc,Th,Topt
1,Bgran_1,Bgran,0.462280981,8.962280981,8.462280981,3.37E-06,3.529539188,310.5939132,NA
2,Bgran_2,Bgran,0.401208543,8.901208543,8.401208543,66.98590439,3.030885715,309.6448146,35.86539935
3,Bgran_7,Bgran,0.344117331,8.844117331,8.344117331,-1.465311814,2.841657501,286.5844021,NA
4,Bgran_8,Bgran,0.298210229,8.798210229,8.298210229,70.27321856,3.116839643,309.5949535,35.80455996
5,Bgran_9,Bgran,0.347890708,8.847890708,8.347890708,70.375427,2.537013507,309.4819749,35.71089158
6,Mplan_3,Mplan,-7.899926705,0.600073295,0.100073295,-8.580603393,18.56445975,310.6192394,35.11108541
7,Mplan_6,Mplan,-5.7789081,2.7210919,2.2210919,-6.389630694,14.60109592,310.4314791,34.38706255
8,Mplan_8,Mplan,-6.82762142,1.67237858,1.17237858,-7.489739186,15.99763625,310.0188949,34.30922099
9,Pdarw_1,Pdarw,1.221531904,9.721531904,9.221531904,3.399034946,2.691668131,307.74452,33.21235423
10,Pdarw_10,Pdarw,-6.812926053,1.687073947,1.187073947,-7.654295861,15.70969714,309.1897999,33.80433273
11,Pdarw_2,Pdarw,-3.576758011,4.923241989,4.423241989,-4.522246973,10.02660503,308.4553268,32.91106599
12,Pdarw_3,Pdarw,0.843364502,9.343364502,8.843364502,3.983402272,3.356128373,308.6789136,32.84195678
13,Pdarw_4,Pdarw,-6.723298865,1.776701135,1.276701135,-7.453619035,15.30568013,309.3527669,33.76531251
14,Pdarw_5,Pdarw,-3.148125255,5.351874745,4.851874745,-4.109057266,9.893765071,309.2901862,33.77703125
15,Pdarw_6,Pdarw,-2.496074234,6.003925766,5.503925766,-3.371717674,8.792773314,309.0425183,33.35579303
16,Pdarw_7,Pdarw,-2.679233402,5.820766598,5.320766598,-3.595134052,9.352655279,310.4133897,34.80319173
17,Pdarw_9,Pdarw,-2.463039688,6.036960312,5.536960312,-3.308334947,8.347951701,308.4754746,32.69648585