,individual.ID,Species,E,Eh,lnc,Th,Topt
3,Bgran_2,Bgran,0.401208543,66.98590439,3.030885715,309.6448146,35.86539935
4,Bgran_3,Bgran,-9.704720564,-10,20.52935772,310.0436901,34.02655687
8,Bgran_8,Bgran,0.298210229,70.27321856,3.116839643,309.5949535,35.80455996
9,Bgran_9,Bgran,0.347890708,70.375427,2.537013507,309.4819749,35.71089158
12,Mplan_2,Mplan,0.578167402,84.13410453,2.811023185,309.1810153,35.54468505
13,Mplan_3,Mplan,-7.899926705,-8.580603393,18.56445975,310.6192394,35.11108541
15,Mplan_6,Mplan,-5.7789081,-6.389630694,14.60109592,310.4314791,34.38706255
16,Mplan_7,Mplan,0.583794223,81.24124593,2.792092845,309.3643438,35.71468131
17,Mplan_8,Mplan,-6.82762142,-7.489739186,15.99763625,310.0188949,34.30922099
19,Pdarw_1,Pdarw,1.221531904,3.399034946,2.691668131,307.74452,33.21235423
20,Pdarw_10,Pdarw,-6.812926053,-7.654295861,15.70969714,309.1897999,33.80433273
21,Pdarw_2,Pdarw,-3.576758011,-4.522246973,10.02660503,308.4553268,32.91106599
22,Pdarw_3,Pdarw,0.843364502,3.983402272,3.356128373,308.6789136,32.84195678
23,Pdarw_4,Pdarw,-6.723298865,-7.453619035,15.30568013,309.3527669,33.76531251
24,Pdarw_5,Pdarw,-3.148125255,-4.109057266,9.893765071,309.2901862,33.77703125
25,Pdarw_6,Pdarw,-2.496074234,-3.371717674,8.792773314,309.0425183,33.35579303
27,Pdarw_9,Pdarw,-2.463039688,-3.308334947,8.347951701,308.4754746,32.69648585